2025-07-09 16:41:42 - INFO - [logging_config.py:44] - 日志文件已创建: D:\workspace\CFLPV2\logs\20250709_164142.log
2025-07-09 16:41:42 - INFO - [main.py:121] - 实验模式: Federated
2025-07-09 16:41:42 - INFO - [main.py:125] - 模型初始化完成: MLP
2025-07-09 16:41:43 - INFO - [main.py:138] - 加载联邦学习客户端数据
2025-07-09 16:41:43 - INFO - [main.py:113] - 开始训练 MLP 模型
2025-07-09 16:43:26 - INFO - [federated_trainer.py:65] - [Federated][Round 55/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.176
2025-07-09 16:43:28 - INFO - [federated_trainer.py:65] - [Federated][Round 56/100] 客户端平均准确率: 0.979, 平均AUC: 0.999, 平均损失: 0.176
2025-07-09 16:43:29 - INFO - [federated_trainer.py:65] - [Federated][Round 57/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.208
2025-07-09 16:43:31 - INFO - [federated_trainer.py:65] - [Federated][Round 58/100] 客户端平均准确率: 0.979, 平均AUC: 0.999, 平均损失: 0.177
2025-07-09 16:43:33 - INFO - [federated_trainer.py:65] - [Federated][Round 59/100] 客户端平均准确率: 0.980, 平均AUC: 0.999, 平均损失: 0.168
2025-07-09 16:43:35 - INFO - [federated_trainer.py:65] - [Federated][Round 60/100] 客户端平均准确率: 0.981, 平均AUC: 0.999, 平均损失: 0.159
2025-07-09 16:43:36 - INFO - [federated_trainer.py:65] - [Federated][Round 61/100] 客户端平均准确率: 0.981, 平均AUC: 0.999, 平均损失: 0.160
2025-07-09 16:43:38 - INFO - [federated_trainer.py:65] - [Federated][Round 62/100] 客户端平均准确率: 0.981, 平均AUC: 0.999, 平均损失: 0.158
2025-07-09 16:43:40 - INFO - [federated_trainer.py:65] - [Federated][Round 63/100] 客户端平均准确率: 0.982, 平均AUC: 0.999, 平均损失: 0.157
2025-07-09 16:43:40 - INFO - [federated_trainer.py:78] - [Federated] 收敛检测：最近准确率波动未超过阈值(0.001)，提前停止训练
2025-07-09 16:43:40 - INFO - [federated_trainer.py:87] - 最终准确率: 0.982
2025-07-09 16:43:40 - INFO - [federated_trainer.py:88] - 最终AUC: 0.999
2025-07-09 16:43:40 - INFO - [main.py:115] - Federated训练完成
2025-07-09 16:43:40 - INFO - [main.py:146] - 训练总耗时: 117.38 秒
